"Data File","Setup Time","Position","Plate Type","Strain Type","Sample Number","Strain Name","Strain Number","Other","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",2.50,41.00,30.00,24.00,25.00,26.00,53.00,12.00,17.00,29.00,21.00,28.00,50.00,32.00,29.00,11.00,11.00,31.00,11.00,11.00,11.00,25.00,11.00,11.00,18.00,27.00,11.00,11.00,11.00,11.00,11.00,16.00,11.00,11.00,12.00,13.00,13.00,25.00,11.00,11.00,11.00,11.00,11.00,22.00,11.00,11.00,11.00,11.00,14.00,29.00,16.00,11.00,12.00,39.00,11.00,11.00,11.00,11.00,11.00,11.00,33.00,18.00,17.00,28.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,17.00,24.00,19.00,11.00,12.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,17.00,32.00,31.00,16.00,20.00,11.00,11.00,11.00,11.00,44.00,11.00,11.00,18.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",2.75,36.00,26.00,22.00,25.00,21.00,59.00,14.00,21.00,28.00,26.00,34.00,57.00,32.00,27.00,11.00,12.00,28.00,11.00,11.00,11.00,23.00,11.00,11.00,22.00,24.00,12.00,11.00,15.00,11.00,11.00,19.00,11.00,11.00,16.00,12.00,15.00,24.00,11.00,11.00,11.00,11.00,11.00,21.00,11.00,11.00,11.00,11.00,18.00,23.00,11.00,11.00,11.00,40.00,11.00,11.00,11.00,11.00,11.00,11.00,35.00,11.00,11.00,33.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,17.00,16.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,15.00,21.00,18.00,11.00,11.00,11.00,11.00,11.00,11.00,44.00,11.00,11.00,17.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",3.00,44.00,33.00,30.00,30.00,28.00,68.00,18.00,21.00,34.00,28.00,36.00,60.00,43.00,33.00,11.00,18.00,37.00,12.00,11.00,11.00,25.00,11.00,13.00,19.00,33.00,14.00,15.00,18.00,15.00,11.00,27.00,11.00,11.00,20.00,14.00,16.00,36.00,11.00,15.00,12.00,11.00,11.00,28.00,11.00,11.00,11.00,11.00,19.00,27.00,11.00,12.00,11.00,47.00,11.00,11.00,11.00,11.00,11.00,11.00,42.00,16.00,15.00,38.00,11.00,11.00,11.00,11.00,11.00,11.00,18.00,11.00,18.00,22.00,19.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,18.00,34.00,29.00,19.00,18.00,11.00,11.00,11.00,11.00,42.00,11.00,12.00,19.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",3.25,44.00,34.00,33.00,35.00,30.00,75.00,24.00,23.00,37.00,33.00,42.00,65.00,47.00,36.00,11.00,18.00,44.00,14.00,16.00,11.00,27.00,13.00,17.00,25.00,37.00,18.00,23.00,24.00,18.00,15.00,32.00,11.00,14.00,24.00,21.00,18.00,44.00,11.00,19.00,12.00,11.00,11.00,32.00,11.00,12.00,11.00,11.00,22.00,27.00,14.00,11.00,11.00,52.00,11.00,11.00,12.00,12.00,11.00,11.00,47.00,18.00,16.00,45.00,11.00,11.00,11.00,13.00,11.00,12.00,26.00,12.00,23.00,25.00,24.00,12.00,11.00,11.00,11.00,11.00,13.00,11.00,11.00,15.00,20.00,33.00,27.00,21.00,14.00,11.00,11.00,11.00,11.00,47.00,11.00,16.00,24.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",3.50,45.00,35.00,39.00,38.00,36.00,82.00,25.00,22.00,42.00,38.00,41.00,69.00,53.00,39.00,11.00,21.00,52.00,17.00,16.00,13.00,28.00,11.00,18.00,25.00,38.00,18.00,24.00,27.00,23.00,17.00,35.00,11.00,13.00,25.00,23.00,20.00,51.00,13.00,18.00,12.00,11.00,11.00,35.00,11.00,11.00,12.00,11.00,21.00,29.00,14.00,11.00,12.00,57.00,11.00,11.00,12.00,14.00,11.00,11.00,49.00,16.00,15.00,50.00,11.00,11.00,13.00,15.00,11.00,11.00,25.00,11.00,21.00,21.00,23.00,11.00,11.00,11.00,11.00,11.00,14.00,11.00,11.00,15.00,24.00,35.00,27.00,21.00,13.00,11.00,11.00,11.00,11.00,46.00,11.00,16.00,25.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",3.75,44.00,35.00,39.00,38.00,33.00,87.00,24.00,24.00,44.00,42.00,43.00,71.00,55.00,39.00,11.00,21.00,53.00,15.00,15.00,12.00,26.00,15.00,19.00,27.00,38.00,18.00,27.00,28.00,26.00,20.00,37.00,11.00,14.00,24.00,25.00,20.00,56.00,12.00,19.00,11.00,11.00,11.00,36.00,14.00,11.00,13.00,11.00,23.00,26.00,13.00,12.00,11.00,58.00,11.00,11.00,11.00,15.00,11.00,11.00,50.00,16.00,12.00,53.00,11.00,11.00,13.00,14.00,11.00,11.00,29.00,12.00,24.00,22.00,26.00,11.00,11.00,11.00,11.00,11.00,13.00,11.00,11.00,17.00,20.00,33.00,25.00,21.00,12.00,11.00,11.00,11.00,11.00,48.00,11.00,16.00,27.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",4.00,48.00,37.00,39.00,39.00,37.00,91.00,22.00,24.00,44.00,40.00,41.00,71.00,62.00,40.00,11.00,21.00,54.00,16.00,16.00,13.00,26.00,11.00,17.00,29.00,42.00,18.00,27.00,29.00,26.00,20.00,41.00,11.00,15.00,26.00,24.00,18.00,64.00,12.00,19.00,12.00,11.00,11.00,41.00,13.00,11.00,11.00,11.00,21.00,26.00,14.00,12.00,13.00,64.00,11.00,11.00,13.00,19.00,11.00,11.00,53.00,19.00,17.00,55.00,11.00,11.00,13.00,16.00,11.00,12.00,29.00,12.00,21.00,24.00,30.00,13.00,11.00,11.00,11.00,11.00,15.00,11.00,11.00,16.00,23.00,37.00,32.00,24.00,17.00,13.00,11.00,11.00,11.00,46.00,11.00,15.00,25.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",4.25,49.00,36.00,39.00,36.00,32.00,93.00,23.00,25.00,42.00,41.00,44.00,70.00,64.00,42.00,11.00,22.00,53.00,17.00,15.00,13.00,27.00,12.00,17.00,34.00,41.00,18.00,25.00,28.00,26.00,22.00,42.00,11.00,14.00,23.00,24.00,17.00,68.00,13.00,18.00,12.00,11.00,14.00,37.00,15.00,11.00,11.00,11.00,22.00,24.00,12.00,12.00,11.00,64.00,11.00,11.00,11.00,18.00,11.00,11.00,52.00,17.00,15.00,56.00,11.00,11.00,12.00,13.00,11.00,11.00,27.00,11.00,21.00,22.00,30.00,11.00,11.00,11.00,11.00,11.00,13.00,11.00,11.00,15.00,21.00,35.00,27.00,22.00,15.00,11.00,11.00,11.00,11.00,45.00,11.00,14.00,25.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",4.50,46.00,34.00,37.00,38.00,34.00,97.00,28.00,30.00,47.00,44.00,47.00,75.00,63.00,41.00,12.00,22.00,54.00,18.00,17.00,17.00,27.00,17.00,21.00,43.00,40.00,21.00,28.00,30.00,26.00,23.00,47.00,13.00,20.00,28.00,24.00,22.00,75.00,13.00,20.00,12.00,11.00,21.00,40.00,18.00,11.00,14.00,11.00,26.00,26.00,11.00,11.00,11.00,68.00,11.00,11.00,12.00,26.00,11.00,11.00,58.00,20.00,14.00,57.00,11.00,11.00,14.00,15.00,11.00,15.00,30.00,15.00,26.00,19.00,28.00,13.00,11.00,11.00,11.00,11.00,16.00,11.00,11.00,19.00,25.00,33.00,23.00,20.00,11.00,11.00,11.00,14.00,11.00,48.00,11.00,18.00,28.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",4.75,45.00,31.00,36.00,34.00,33.00,98.00,24.00,27.00,41.00,42.00,44.00,73.00,64.00,41.00,11.00,21.00,54.00,17.00,16.00,15.00,26.00,15.00,19.00,46.00,37.00,18.00,26.00,29.00,28.00,22.00,48.00,13.00,20.00,26.00,24.00,17.00,80.00,12.00,17.00,12.00,11.00,24.00,41.00,18.00,11.00,11.00,11.00,23.00,24.00,11.00,11.00,11.00,72.00,11.00,11.00,11.00,27.00,11.00,11.00,58.00,18.00,16.00,59.00,11.00,11.00,14.00,14.00,11.00,13.00,31.00,13.00,22.00,20.00,27.00,11.00,11.00,11.00,11.00,11.00,16.00,11.00,11.00,17.00,25.00,34.00,24.00,21.00,11.00,11.00,11.00,12.00,11.00,48.00,11.00,19.00,29.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",5.00,45.00,33.00,36.00,36.00,33.00,98.00,27.00,29.00,43.00,42.00,43.00,75.00,65.00,45.00,11.00,20.00,54.00,17.00,15.00,14.00,27.00,15.00,19.00,52.00,37.00,20.00,26.00,28.00,25.00,22.00,51.00,12.00,21.00,25.00,26.00,19.00,83.00,12.00,18.00,15.00,11.00,27.00,40.00,17.00,11.00,13.00,11.00,24.00,24.00,11.00,11.00,11.00,77.00,11.00,11.00,11.00,29.00,11.00,11.00,59.00,18.00,14.00,57.00,11.00,11.00,14.00,13.00,11.00,12.00,30.00,12.00,24.00,21.00,30.00,11.00,11.00,11.00,11.00,11.00,16.00,11.00,11.00,17.00,22.00,32.00,24.00,18.00,11.00,11.00,11.00,11.00,11.00,45.00,11.00,20.00,29.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",5.25,50.00,39.00,40.00,39.00,37.00,100.00,26.00,31.00,45.00,42.00,43.00,75.00,70.00,47.00,11.00,23.00,56.00,18.00,15.00,14.00,28.00,14.00,19.00,56.00,41.00,22.00,27.00,30.00,29.00,23.00,53.00,12.00,25.00,27.00,26.00,20.00,92.00,15.00,21.00,19.00,11.00,27.00,42.00,17.00,12.00,11.00,11.00,24.00,26.00,13.00,13.00,12.00,81.00,11.00,11.00,13.00,29.00,11.00,11.00,58.00,24.00,16.00,57.00,11.00,11.00,15.00,18.00,11.00,14.00,31.00,14.00,22.00,23.00,33.00,14.00,11.00,11.00,11.00,11.00,16.00,11.00,11.00,18.00,24.00,35.00,30.00,22.00,14.00,12.00,11.00,11.00,11.00,48.00,11.00,18.00,29.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",5.50,52.00,37.00,41.00,40.00,37.00,101.00,27.00,34.00,45.00,44.00,47.00,78.00,70.00,51.00,14.00,23.00,56.00,20.00,17.00,17.00,29.00,17.00,22.00,62.00,43.00,21.00,30.00,30.00,29.00,22.00,58.00,14.00,27.00,26.00,28.00,24.00,97.00,15.00,22.00,20.00,12.00,30.00,42.00,19.00,13.00,15.00,11.00,28.00,29.00,14.00,12.00,12.00,85.00,11.00,11.00,13.00,32.00,11.00,11.00,62.00,23.00,16.00,60.00,11.00,11.00,15.00,17.00,12.00,17.00,34.00,15.00,25.00,22.00,34.00,14.00,11.00,11.00,11.00,11.00,19.00,11.00,11.00,21.00,25.00,35.00,28.00,23.00,16.00,11.00,11.00,11.00,11.00,49.00,11.00,19.00,31.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",5.75,48.00,33.00,35.00,37.00,34.00,101.00,27.00,33.00,46.00,45.00,43.00,75.00,69.00,49.00,11.00,20.00,56.00,17.00,16.00,16.00,26.00,17.00,21.00,66.00,39.00,19.00,27.00,31.00,27.00,22.00,57.00,13.00,30.00,26.00,24.00,19.00,97.00,14.00,17.00,14.00,11.00,30.00,43.00,17.00,11.00,13.00,11.00,24.00,24.00,12.00,12.00,11.00,83.00,11.00,11.00,11.00,30.00,11.00,11.00,59.00,23.00,15.00,57.00,11.00,11.00,14.00,15.00,11.00,14.00,32.00,13.00,24.00,21.00,30.00,11.00,11.00,11.00,11.00,11.00,15.00,11.00,11.00,19.00,23.00,34.00,26.00,20.00,14.00,11.00,11.00,11.00,11.00,49.00,11.00,17.00,31.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",6.00,52.00,35.00,38.00,38.00,35.00,103.00,28.00,31.00,46.00,43.00,44.00,77.00,71.00,51.00,11.00,22.00,56.00,19.00,18.00,17.00,29.00,19.00,22.00,67.00,39.00,20.00,27.00,31.00,27.00,24.00,62.00,14.00,29.00,28.00,27.00,22.00,103.00,15.00,21.00,19.00,11.00,29.00,42.00,18.00,11.00,16.00,11.00,28.00,27.00,11.00,12.00,13.00,85.00,11.00,11.00,11.00,33.00,11.00,11.00,59.00,25.00,12.00,58.00,11.00,11.00,14.00,14.00,11.00,14.00,31.00,16.00,24.00,22.00,31.00,11.00,11.00,11.00,11.00,11.00,15.00,11.00,11.00,19.00,26.00,34.00,24.00,22.00,13.00,11.00,11.00,11.00,11.00,49.00,11.00,19.00,32.00
"C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-2852_Escherichia coli__2_37_PMX_438_3#1#2019_A_ 5B_9.oka",3/1/2019 3:23:47 PM," 5-B","PM02-A","---","","Escherichia coli","18-2852","",6.25,50.00,33.00,37.00,37.00,33.00,105.00,27.00,31.00,47.00,43.00,46.00,77.00,69.00,51.00,11.00,21.00,54.00,18.00,17.00,16.00,27.00,18.00,22.00,69.00,37.00,20.00,26.00,30.00,27.00,23.00,65.00,14.00,32.00,27.00,24.00,21.00,106.00,14.00,19.00,17.00,11.00,30.00,42.00,18.00,12.00,13.00,11.00,26.00,26.00,12.00,12.00,12.00,89.00,11.00,11.00,11.00,34.00,11.00,11.00,60.00,27.00,15.00,57.00,11.00,11.00,13.00,14.00,11.00,13.00,31.00,13.00,26.00,21.00,33.00,12.00,11.00,11.00,11.00,11.00,15.00,11.00,11.00,18.00,24.00,33.00,27.00,21.00,14.00,11.00,11.00,11.00,11.00,51.00,11.00,19.00,31.00
